# Frequency(Hz) Omega_GW(Taiji) Omega_GW(TianQin)
1.000000000000000082e-05 1.888942473929079996e-06 4.326002700641811911e-07
1.011591112223829695e-05 1.824779202727030430e-06 4.231888023026316520e-07
1.023316578330244899e-05 1.762796043158108045e-06 4.139866734670361975e-07
1.035177955630176194e-05 1.702918913178969306e-06 4.049891721921914477e-07
1.047176819485520245e-05 1.645076248199036390e-06 3.961916937926328946e-07
1.059314763518370065e-05 1.589198915531590835e-06 3.875897378395814304e-07
1.071593399822671096e-05 1.535220131752028677e-06 3.791789057930154688e-07
1.084014359178330984e-05 1.483075382864470067e-06 3.709548986876066850e-07
1.096579291267809966e-05 1.432702347181327309e-06 3.629135148713012886e-07
1.109289864895222712e-05 1.384040820823590524e-06 3.550506477953361548e-07
1.122147768207980256e-05 1.337032645752816640e-06 3.473622838545346198e-07
1.135154708920999101e-05 1.291621640248747095e-06 3.398445002767205514e-07
1.148312414543511069e-05 1.247753531749486764e-06 3.324934630601487064e-07
1.161622632608501823e-05 1.205375891973922541e-06 3.253054249578417078e-07
1.175087130904807549e-05 1.164438074248843528e-06 3.182767235077809386e-07
1.188707697711903343e-05 1.124891152965851453e-06 3.114037791078991789e-07
1.202486142037412267e-05 1.086687865095649537e-06 3.046830931348532527e-07
1.216424293857367937e-05 1.049782553689840590e-06 2.981112461055895199e-07
1.230524004359261647e-05 1.014131113302657422e-06 2.916848958807153156e-07
1.244787146187906222e-05 9.796909372674067835e-07 2.854007759087376631e-07
1.259215613694150976e-05 9.464208667645745464e-07 2.792556935102293217e-07
1.273811323186478452e-05 9.142811416207318577e-07 2.732465282010151525e-07
1.288576213185518003e-05 8.832333527794110627e-07 2.673702300534956150e-07
1.303512244681508904e-05 8.532403963871313690e-07 2.616238180952344179e-07
1.318621401394748594e-05 8.242664294396995394e-07 2.560043787439615995e-07
1.333905690039058705e-05 7.962768269357530919e-07 2.505090642781671855e-07
1.349367140588306531e-05 7.692381404863293143e-07 2.451350913424713193e-07
1.365007806546013744e-05 7.431180583309823554e-07 2.398797394869823305e-07
1.380829765218092365e-05 7.178853667126501147e-07 2.347403497398659599e-07
1.396835117988739660e-05 6.935099125650937618e-07 2.297143232123732574e-07
1.413025990599533632e-05 6.699625674683080981e-07 2.247991197355856278e-07
1.429404533431761129e-05 6.472151928288183215e-07 2.199922565281563078e-07
1.445972921792019565e-05 6.252406062432290911e-07 2.152913068943423746e-07
1.462733356201129868e-05 6.040125490048198842e-07 2.106938989516387844e-07
1.479688062686396383e-05 5.835056547143502913e-07 2.061977143873384782e-07
1.496839293077255598e-05 5.636954189575411011e-07 2.018004872433635641e-07
1.514189325304351951e-05 5.445581700129849418e-07 1.975000027287203602e-07
1.531740463702079875e-05 5.260710405554793487e-07 1.932940960589528192e-07
1.549495039314631713e-05 5.082119403209392673e-07 1.891806513219777205e-07
1.567455410205594862e-05 4.909595297002298380e-07 1.851576003697027244e-07
1.585623961771137294e-05 4.742931942303349263e-07 1.812229217348383898e-07
1.604003107056819902e-05 4.581930199523826650e-07 1.773746395723343118e-07
1.622595287078087002e-05 4.426397696070624328e-07 1.736108226248746495e-07
1.641402971144466496e-05 4.276148596389748143e-07 1.699295832118892189e-07
1.660428657187529514e-05 4.131003379824332465e-07 1.663290762415432945e-07
1.679674872092653225e-05 3.990788626021518563e-07 1.628074982451819881e-07
1.699144172034626135e-05 3.855336807631740322e-07 1.593630864337220196e-07
1.718839142817145670e-05 3.724486090052581289e-07 1.559941177754869210e-07
1.738762400216250392e-05 3.598080137977774345e-07 1.526989080950009060e-07
1.758916590327732596e-05 3.475967928520155380e-07 1.494758111922628311e-07
1.779304389918577364e-05 3.358003570685121017e-07 1.463232179820353868e-07
1.799928506782476521e-05 3.244046130978806106e-07 1.432395556526932594e-07
1.820791680099462562e-05 3.133959464942485938e-07 1.402232868441848283e-07
1.841896680799710997e-05 3.027612054411857095e-07 1.372729088446736146e-07
1.863246311931559903e-05 2.924876850306615476e-07 1.343869528054342680e-07
1.884843409033795474e-05 2.825631120762393409e-07 1.315639829735862741e-07
1.906690840512252017e-05 2.729756304423561571e-07 1.288025959422616904e-07
1.928791508020777896e-05 2.637137868721439200e-07 1.261014199178082773e-07
1.951148346846616547e-05 2.547665172968577468e-07 1.234591140036424374e-07
1.973764326300255428e-05 2.461231336105379792e-07 1.208743675003701904e-07
1.996642450109793374e-05 2.377733108941017548e-07 1.183458992218104109e-07
2.019785756819878213e-05 2.297070750735893366e-07 1.158724568265533251e-07
2.043197320195270527e-05 2.219147909978085886e-07 1.134528161647053559e-07
2.066880249629082024e-05 2.143871509211330446e-07 1.110857806394722242e-07
2.090837690555749843e-05 2.071151633776765538e-07 1.087701805832439829e-07
2.115072824868794552e-05 2.000901424335500282e-07 1.065048726478505411e-07
2.139588871343421495e-05 1.933036973043521011e-07 1.042887392086676199e-07
2.164389086064020347e-05 1.867477223254798445e-07 1.021206877822561369e-07
2.189476762856620837e-05 1.804143872632696366e-07 9.999965045722701814e-08
2.214855233726359179e-05 1.742961279553905091e-07 9.792458333803347959e-08
2.240527869300018224e-05 1.683856372692940779e-07 9.589446600139188152e-08
2.266498079273692845e-05 1.626758563679199846e-07 9.390830096504910735e-08
2.292769312865648647e-05 1.571599662722093055e-07 9.196511316861132105e-08
2.319345059274427543e-05 1.518313797103443850e-07 9.006394946616240402e-08
2.346228848142262524e-05 1.466837332439689967e-07 8.820387813040295335e-08
2.373424250023866352e-05 1.417108796619761555e-07 8.638398836804775076e-08
2.400934876860651764e-05 1.369068806327728773e-07 8.460338984622580579e-08
2.428764382460450616e-05 1.322659996062364335e-07 8.286121222963262191e-08
